kalshi_question,kalshi_rule,polymarket_question,polymarket_rule,identified_semantic_difference,phenomenon_similarity,phenomenon_match_label,lexical_similarity,semantic_divergence,match_confidence
Will Jack Ciattarelli win the 2025 New Jersey gubernatorial election?,"If a representative of the Republican party is inaugurated as the governor of New Jersey pursuant to the 2025 election, then the market resolves to Yes.
This market will close early following the first person to be sworn in as governor pursuant to the 2025 gubernatorial election.",Will Jack Ciattarelli win the New Jersey Governor Election in 2025,"This market will resolve to according to the if the candidate who wins the 2025 New Jersey gubernatorial election.

If the results of the election are not confirmed by July 31, 2026, this market will resolve to ""Other"".

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on official certification.",numeric/date conditions differ; named resolution sources differ; required event stage differs,0.7569990946171958,strong_candidate,0.7777777777777778,0.633007217326466,0.8274344501849875
Will Mikie Sherrill win the 2025 New Jersey gubernatorial election?,"If a representative of the Democratic party is inaugurated as the governor of New Jersey pursuant to the 2025 election, then the market resolves to Yes.
This market will close early following the first person to be sworn in as governor pursuant to the 2025 gubernatorial election.",Will Mikie Sherrill win the New Jersey Governor Election in 2025,"This market will resolve to according to the if the candidate who wins the 2025 New Jersey gubernatorial election.

If the results of the election are not confirmed by July 31, 2026, this market will resolve to ""Other"".

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on official certification.",numeric/date conditions differ; named resolution sources differ; required event stage differs,0.7183123539206941,strong_candidate,0.7777777777777778,0.633007217326466,0.8196971020456872
Will the Fed cut rates 0 times?,"If the Fed does exactly 0 cuts of 25 basis points in 2024, the market resolves to Yes.
To be clear, 25bp of cuts is equal to one cut (so 25bp cut is 1, 50bp cut is 2, 75bp cut is 3, and so on). Note: the original filing had a typographical error that referred to a 25bp cut as an ""increase"" in the federal funds rate. This has been changed.",Will Fed cut interest rates 0 times in 2024?,"The FED interest rates are defined in this market by the upper bound of the target federal funds range. The decisions on the target federal fund range are made by the Federal Open Market Committee (FOMC) meetings.

This market will resolve to “Yes” if the there no rate cuts by the Fed's December meeting (including the Dec meeting). Otherwise, this market will resolve to “No.”

This market may resolve to ""Yes"" immediately after the statement from the Fed's December 2024 meeting has been released if there has been no rate cuts by then.

If there is a rate cut at any time within 2024, before the statement following the December FOMC meeting is released, this market may immediately resolve to ""No"".

The resolution source for this market will be FOMC statements after meetings scheduled in 2024 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",one contract records a rule correction; numeric/date conditions differ; named resolution sources differ; required event stage differs,0.6878291969818248,strong_candidate,0.7142857142857143,0.5766555886243386,0.7044742939819029
Will the Fed cut rates 4 times?,"If the Fed does exactly 4 cuts of 25 basis points in 2024, the market resolves to Yes.
To be clear, 25bp of cuts is equal to one cut (so 25bp cut is 1, 50bp cut is 2, 75bp cut is 3, and so on). Note: the original filing had a typographical error that referred to a 25bp cut as an ""increase"" in the federal funds rate. This has been changed.",Will Fed cut interest rates 4 times in 2024?,"The FED interest rates are defined in this market by the upper bound of the target federal funds range. The decisions on the target federal fund range are made by the Federal Open Market Committee (FOMC) meetings.

This market will resolve to “Yes” if the there is exactly 4 cuts of 25 basis points by the Fed's December meeting (including any cuts made during Dec meeting). Otherwise, this market will resolve to “No.”

This market may resolve to ""Yes"" immediately after the statement from the Fed's December 2024 meeting has been released if there has been exactly 4 rate cuts by then.

For example, if the FED cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each). If there are 5 or more rate cuts at any point before this market's resolution date, this market will resolve to ""No"".

The resolution source for this market will be FOMC statements after meetings scheduled in 2024 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",one contract records a rule correction; numeric/date conditions differ; named resolution sources differ; required event stage differs,0.6878291969818248,strong_candidate,0.7142857142857143,0.5155444775132275,0.7044742939819029
Will the Fed cut rates 2 times?,"If the Fed does exactly 2 cuts of 25 basis points in 2024, the market resolves to Yes.
To be clear, 25bp of cuts is equal to one cut (so 25bp cut is 1, 50bp cut is 2, 75bp cut is 3, and so on). Note: the original filing had a typographical error that referred to a 25bp cut as an ""increase"" in the federal funds rate. This has been changed.",Will Fed cut interest rates 2 times in 2024?,"The FED interest rates are defined in this market by the upper bound of the target federal funds range. The decisions on the target federal fund range are made by the Federal Open Market Committee (FOMC) meetings.

This market will resolve to “Yes” if the there is exactly 2 cuts of 25 basis points by the Fed's December meeting (including any cuts made during Dec meeting). Otherwise, this market will resolve to “No.”

This market may resolve to ""Yes"" immediately after the statement from the Fed's December 2024 meeting has been released if there has been exactly 2 rate cuts by then.

For example, if the FED cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each). If there are 3 or more rate cuts at any point before this market's resolution date, this market will resolve to ""No"".

The resolution source for this market will be FOMC statements after meetings scheduled in 2024 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",one contract records a rule correction; numeric/date conditions differ; named resolution sources differ; required event stage differs,0.6878291969818248,strong_candidate,0.7142857142857143,0.4837984457671958,0.7044742939819029
Will Nick Shirley attend the 2026 State of the Union Address?,"If Nick Shirley attends the 2026 State of the Union Address, then the market resolves to Yes.
Attendance is confirmed if the person is reported present at the event by any Source Agency, including social media posts by the person themselves. Brief appearances or partial attendance count as attendance.
This market will close and expire early if the event occurs",Will Nick Shirley attend the 2026 State of the Union address?,"The 2026 State of the Union address is scheduled to be held in the Chamber of the U.S. House of Representatives on February 24, 2026.

This market will resolve to ""Yes"" if the listed individual attends the 2026 State of the Union address. Otherwise, this market will resolve to ""No"".

If the event is canceled or postponed beyond March 31, 2026, 11:59 PM ET, this market will resolve to ""No"".

For the purpose of this market, attending the State of the Union address is defined as being in physical attendance during any part of the event.

The resolution source will be a consensus of credible reporting.",cancellation/postponement fallback appears on one platform; permitted attendance evidence differs; numeric/date conditions differ; named resolution sources differ,1.0,strong_candidate,1.0,0.4126204668209877,0.9991265110596708
Will Jay Collins be the Republican nominee for Governor in Florida?,"If Jay Collins wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.
This market will close after Jay Collins wins the party's nomination.",Will Jay Collins be the Republican nominee for Florida Governor?,"This market will resolve according to the winner of the Republican Primary for Governor of Florida, scheduled to take place on August 18, 2026.

If no 2026 Florida Republican Gubernatorial Primary takes place, this market will resolve to “Other.”

The resolution source for this market will be the first official announcement of the results from the Florida Republican Party; however, an overwhelming consensus of credible reporting may suffice.",numeric/date conditions differ; required event stage differs,0.7745841713110797,strong_candidate,1.0,0.3016755594135803,0.9543583144576893
Will James Fishback be the Republican nominee for Governor in Florida?,"If James Fishback wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.
This market will close after James Fishback wins the party's nomination.",Will James Fishback be the Republican nominee for Florida Governor?,"This market will resolve according to the winner of the Republican Primary for Governor of Florida, scheduled to take place on August 18, 2026.

If no 2026 Florida Republican Gubernatorial Primary takes place, this market will resolve to “Other.”

The resolution source for this market will be the first official announcement of the results from the Florida Republican Party; however, an overwhelming consensus of credible reporting may suffice.",numeric/date conditions differ; required event stage differs,0.7700474393728939,strong_candidate,1.0,0.3016755594135803,0.9534509680700521
Will Byron Donalds be the Republican nominee for Governor in Florida?,"If Byron Donalds wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.
This market will close after Byron Donalds wins the party's nomination.",Will Byron Donalds be the Republican nominee for Florida Governor?,"This market will resolve according to the winner of the Republican Primary for Governor of Florida, scheduled to take place on August 18, 2026.

If no 2026 Florida Republican Gubernatorial Primary takes place, this market will resolve to “Other.”

The resolution source for this market will be the first official announcement of the results from the Florida Republican Party; however, an overwhelming consensus of credible reporting may suffice.",numeric/date conditions differ; required event stage differs,0.7690219156592132,strong_candidate,1.0,0.3016755594135803,0.953245863327316
Will Jasmine Crockett be the Democratic nominee for the Senate in Texas?,"If Jasmine Crockett wins the nomination for the Democratic Party to contest the 2026 Class II Texas Senate seat, then the market resolves to Yes.
This market will close after Jasmine Crockett wins the party's nomination.",Will Jasmine Crockett be the Democratic nominee for Senate in Texas?,"This market will resolve according to the winner of the Democratic Primary for United States Senator from Texas.

If no 2026 Texas Democratic Senate Primary takes place, this market will resolve to ""Other"".

The resolution source for this market will be the first announcement of the results from the Texas Democratic party, however an overwhelming consensus of credible reporting may suffice.",required event stage differs,1.0,strong_candidate,1.0,0.2027441165123457,0.9990852944958848
Will James Talarico be the Democratic nominee for the Senate in Texas?,"If James Talarico wins the nomination for the Democratic Party to contest the 2026 Class II Texas Senate seat, then the market resolves to Yes.
This market will close after James Talarico wins the party's nomination.",Will James Talarico be the Democratic nominee for Senate in Texas?,"This market will resolve according to the winner of the Democratic Primary for United States Senator from Texas.

If no 2026 Texas Democratic Senate Primary takes place, this market will resolve to ""Other"".

The resolution source for this market will be the first announcement of the results from the Texas Democratic party, however an overwhelming consensus of credible reporting may suffice.",required event stage differs,1.0,strong_candidate,1.0,0.2027441165123457,0.9990852944958848
